  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:24 pm AST

Well Name,Basin,Subbasin,Latitude (NAD27),Longitude (NAD27),Northing (NAD27),Easting (NAD27),Latitude (NAD83),Longitude (NAD83),Northing (NAD83),Easting (NAD83),Zone (UTM)
HIBERNIA B-16 49Z,JEANNE D'ARC BASIN,,46.750452,-48.782647,5179603,669361,46.750364,-48.781569,5179813,669439,22
HIBERNIA B-16 4Y,JEANNE D'ARC BASIN,,46.750469,-48.782577,5179605,669367,46.750381,-48.7815,5179815,669444,22
HIBERNIA B-16 4Z,JEANNE D'ARC BASIN,,46.750469,-48.782577,5179605,669367,46.750381,-48.781501,5179815,669444,22
HIBERNIA B-16 5,JEANNE D'ARC BASIN,,46.750516,-48.782602,5179610,669365,46.750428,-48.781524,5179821,669442,22
HIBERNIA B-16 50,JEANNE D'ARC BASIN,,,,,,46.750317,-48.781594,5179808,669437,22
HIBERNIA B-16 51,JEANNE D'ARC BASIN,,46.750699,-48.782913,5179629,669340,46.750611,-48.781836,5179840,669418,22
HIBERNIA B-16 51Z,JEANNE D'ARC BASIN,,46.750699,-48.782913,5179629,669340,46.750611,-48.781836,5179840,669418,22
HIBERNIA B-16 52,JEANNE D'ARC BASIN,,46.750666,-48.783008,5179626,669333,46.750578,-48.781931,5179836,669411,22
HIBERNIA B-16 52Z,JEANNE D'ARC BASIN,,46.750666,-48.783008,5179626,669333,46.750578,-48.781931,5179836,669411,22
HIBERNIA B-16 53,JEANNE D'ARC BASIN,,46.750485,-48.782647,5179606,669361,46.750397,-48.781569,5179817,669439,22
HIBERNIA B-16 53Z,JEANNE D'ARC BASIN,,,,,,46.750394,-48.781569,5179817,669439,22
HIBERNIA B-16 54,JEANNE D'ARC BASIN,,46.750421,-48.782694,5179599,669358,46.750333,-48.781617,5179810,669435,22
HIBERNIA B-16 54V,JEANNE D'ARC BASIN,,,,,,46.750333,-48.781617,5179810,669435,22
HIBERNIA B-16 54W,JEANNE D'ARC BASIN,,,,,,46.750333,-48.781617,5179810,669435,22
HIBERNIA B-16 54X,JEANNE D'ARC BASIN,,,,,,46.750333,-48.781617,5179810,669435,22
HIBERNIA B-16 54Y,JEANNE D'ARC BASIN,,,,,,46.750333,-48.781617,5179810,669435,22
