  Natural Resources Canada,Geological Survey of Canada,Geoscience Data Repository,BASIN Database
Date: January 18,2021,12:05 pm AST

Well Name,GSC #,Unique Well Identifier,Original Spud Year,Operator,Area,Basin,Status
HIBERNIA B-16 22,N194,322 B16 46500 48450,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 22Z,N376,322 B16 46500 48451,2012,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 23,N196,323 B16 46500 48450,2000,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 24,N197,324 B16 46500 48450,2001,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 24Z,N488,324 B16 46500 48451,2020,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 25,N198,325 B16 46500 48450,2001,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 25W,N472,325 B16 46500 48454,2019,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 25X,N334,325 B16 46500 48453,2008,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 25Y,N333,325 B16 46500 48452,2008,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 25Z,N332,325 B16 46500 48451,2008,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 26,N199,326 B16 46500 48450,2001,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 27,N200,327 B16 46500 48450,2001,HMDC,Grand Banks,JEANNE D'ARC BASIN,INJEC
HIBERNIA B-16 28,N201,328 B16 46500 48450,2001,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 28Z,N218,328 B16 46500 48451,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 29,N204,329 B16 46500 48450,2001,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 3,N149,303 B16 46500 48450,1997,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 30,N203,330 B16 46500 48450,2001,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
HIBERNIA B-16 30Y,N452,330 B16 46500 48452,2018,HMDC,Grand Banks,JEANNE D'ARC BASIN,PROD
HIBERNIA B-16 30Z,N214,330 B16 46500 48451,2002,HMDC,Grand Banks,JEANNE D'ARC BASIN,ABAND
